x, y
40, 0
60.132747395912446, 0
69.64601707174695, 0
83.58406828698782, 1123578.3127526138
92.87610243048172, 11235937.42988083
98.40707175910453, 31460655.664137263
101.94690104163502, 51685399.61545281
104.60176793977614, 74719115.06570901
107.03538917806316, 98314619.67234151
108.8053038193284, 117977523.03316253
110.57521846059365, 137078662.95466635
111.9026519096642, 149438204.4143589
113.45133101858885, 160674167.56129885
113.45133101858885, 160674167.56129885
115.2212355323406, 163483139.0602395
116.99114004609235, 157303381.1889228
117.87610243048172, 149438204.4143589
118.53981915501699, 139887634.453607
119.64600694423345, 127528092.99391444
120.30972366876873, 115168551.53422187
120.973440393304, 103932588.38728194
121.85840277769339, 89887653.74140133
122.74336516208275, 77528086.56464966
123.40708188661803, 60674154.7027693
125.39823206022386, 39887621.59507745
126.94689091412151, 24157319.480067927
128.49557002304616, 13483145.489504289
131.37168258104137, 5056179.558564108